iter	Passed	Remaining
399	38596	154387
400	38698	154310
401	38816	154298
402	38961	154397
403	39072	154357
404	39152	154194
405	39239	154056
406	39331	153944
407	39422	153826
408	39510	153695
409	39597	153559
410	39686	153434
411	39772	153296
412	39905	153341
413	40029	153350
414	40350	154109
415	40482	154144
416	40575	154030
417	40658	153881
418	40743	153736
419	40834	153614
420	40917	153463
421	41006	153338
422	41097	153217
423	41184	153081
424	41270	152945
425	41354	152796
426	41436	152645
427	41527	152525
428	41613	152388
429	41700	152256
430	41783	152107
431	41869	151971
432	41972	151895
433	42078	151830
434	42177	151742
435	42278	151658
436	42363	151521
437	42482	151503
438	42573	151382
439	42706	151414
440	42791	151272
441	42887	151172
442	42971	151032
443	43054	150883
444	43150	150782
445	43231	150632
446	43320	150507
447	43409	150382
448	43495	150247
449	43584	150125
450	43686	150043
451	43779	149934
452	44001	150265
453	44114	150223
454	44202	150095
455	44297	149988
456	44381	149849
457	44465	149707
458	44553	149580
459	44642	149456
460	44732	149333
461	44832	149246
462	45050	149551
463	45179	149560
464	45263	149418
465	45348	149280
466	45443	149174
467	45539	149072
468	45626	148942
469	45717	148823
470	45806	148702
471	45889	148557
472	45960	148376
473	46048	148248
474	46136	148123
475	46220	147982
476	46319	147890
477	46419	147804
478	46509	147683
479	46597	147559
480	46684	147429
481	46768	147290
482	46867	147199
483	46962	147096
484	47120	147191
485	47226	147120
486	47317	147005
487	47441	146989
488	47606	147104
489	47687	146955
490	47771	146816
491	47862	146700
492	47949	146572
493	48035	146440
494	48128	146331
495	48213	146196
496	48301	146070
497	48388	145944
498	48477	145821
499	48576	145728
500	48667	145613
501	48754	145485
502	48841	145359
503	48929	145236
504	49017	145110
505	49122	145036
506	49234	144985
507	49316	144842
508	49414	144747
509	49515	144662
510	49619	144585
511	49829	144815
512	49944	144769
513	50047	144689
514	50164	144648
515	50285	144620
516	50390	144542
517	50497	144473
518	50602	144397
519	50710	144330
520	50820	144268
521	50915	144164
522	51019	144084
523	51118	143988
524	51226	143922
525	51343	143877
526	51442	143784
527	51542	143695
528	51652	143631
529	51767	143582
530	51875	143513
531	51984	143445
532	52098	143394
533	52301	143584
534	52446	143613
535	52551	143537
536	52681	143525
537	52776	143419
538	52864	143293
539	52951	143164
540	53037	143034
541	53123	142905
542	53206	142764
543	53296	142645
544	53383	142518
545	53482	142424
546	53578	142320
547	53665	142194
548	53748	142056
549	53837	141934
550	53925	141811
551	54013	141688
552	54100	141562
553	54186	141432
554	54264	141283
555	54353	141161
556	54439	141033
557	54520	140894
558	54665	140918
559	54759	140809
560	54844	140679
561	54936	140565
562	55026	140448
563	55105	140304
564	55190	140173
565	55402	140366
566	55557	140412
567	55662	140331
568	55749	140205
569	55832	140070
570	55916	139937
571	56006	139821
572	56093	139696
573	56176	139561
574	56303	139535
575	56410	139458
576	56498	139336
577	56585	139211
578	56682	139111
579	56858	139205
580	57035	139299
581	57192	139345
582	57305	139282
583	57407	139194
584	57531	139157
585	57638	139078
586	57738	138984
587	57843	138903
588	57959	138846
589	58078	138797
590	58168	138679
591	58246	138532
592	58329	138397
593	58415	138269
594	58497	138132
595	58586	138012
596	58672	137885
597	58755	137752
598	58841	137623
599	58966	137589
600	59090	137550
601	59180	137432
602	59268	137310
603	59372	137224
604	59535	137276
605	59626	137160
606	59683	136966
607	59772	136847
608	59854	136712
609	59944	136593
610	60032	136474
611	60113	136336
612	60201	136213
613	60301	136120
614	60412	136050
615	60511	135953
616	60620	135880
617	60723	135791
618	60832	135717
619	60930	135620
620	61032	135530
621	61185	135552
622	61370	135646
623	61472	135554
624	61558	135428
625	61683	135388
626	61915	135582
627	62079	135625
628	62190	135552
629	62281	135436
630	62380	135338
631	62502	135289
632	62617	135227
633	62682	135054
634	62810	135018
635	62902	134903
636	62992	134785
637	63072	134646
638	63197	134603
639	63282	134474
640	63373	134359
641	63461	134236
642	63562	134143
643	63665	134053
644	63762	133951
645	63895	133922
646	64003	133842
647	64086	133712
648	64181	133604
649	64341	133631
650	64429	133510
651	64513	133380
652	64596	133249
653	64680	133118
654	64768	132996
655	64854	132873
656	64973	132814
657	65069	132710
658	65158	132591
659	65252	132483
660	65325	132330
661	65407	132198
662	65492	132072
663	65577	131944
664	65651	131797
665	65742	131682
666	65825	131551
667	65915	131437
668	65996	131303
669	66084	131181
670	66155	131029
671	66243	130909
672	66329	130786
673	66416	130664
674	66510	130558
675	66766	130767
676	66857	130654
677	66942	130528
678	67024	130396
679	67111	130275
680	67195	130147
681	67280	130023
682	67363	129894
683	67447	129766
684	67533	129643
685	67618	129520
686	67705	129400
687	67792	129278
688	67880	129159
689	67965	129035
690	68047	128907
691	68140	128797
692	68228	128678
693	68313	128554
694	68407	128449
695	68493	128326
696	68577	128202
697	68668	128089
698	68756	127972
699	68845	127856
700	68977	127819
701	69113	127791
702	69212	127693
703	69298	127572
704	69387	127456
705	69543	127463
706	69648	127377
707	69741	127268
708	69833	127157
709	69935	127066
710	70038	126975
711	70138	126879
712	70236	126781
713	70355	126719
714	70445	126605
715	70550	126517
716	70654	126429
717	70726	126282
718	70827	126188
719	70899	126044
720	71008	125963
721	71122	125893
722	71242	125832
723	71357	125763
724	71497	125736
725	71602	125650
726	71706	125560
727	71801	125455
728	71930	125409
729	72034	125320
730	72117	125194
731	72190	125050
732	72277	124932
733	72356	124800
734	72452	124696
735	72544	124587
736	72651	124503
737	72756	124415
738	72856	124319
739	72958	124226
740	73068	124146
741	73171	124055
742	73271	123960
743	73404	123919
744	73496	123810
745	73588	123699
746	73727	123667
747	73912	123713
748	74102	123767
749	74188	123648
750	74284	123543
751	74394	123463
752	74504	123382
753	74624	123318
754	74737	123242
755	74825	123125
756	74911	123005
757	74999	122887
758	75083	122765
759	75165	122638
760	75251	122518
761	75336	122396
762	75420	122274
763	75507	122156
764	75590	122032
765	75673	121907
766	75758	121786
767	75847	121671
768	75931	121550
769	76063	121503
770	76156	121395
771	76324	121407
772	76583	121562
773	76740	121555
774	76881	121521
775	76976	121417
776	77071	121311
777	77165	121203
778	77251	121084
779	77337	120963
780	77422	120842
781	77509	120724
782	77606	120622
783	77692	120502
784	77781	120387
785	77866	120267
786	77952	120147
787	78035	120023
788	78116	119897
789	78195	119768
790	78257	119612
791	78345	119495
792	78432	119379
793	78524	119269
794	78616	119161
795	78702	119042
796	78898	119090
797	78996	118989
798	79088	118879
799	79176	118764
800	79259	118641
801	79348	118528
802	79435	118411
803	79521	118293
804	79618	118191
805	79717	118092
806	79810	117985
807	79902	117875
808	79987	117756
809	80072	117636
810	80159	117521
811	80248	117408
812	80329	117282
813	80417	117168
814	80507	117057
815	80626	116987
816	80728	116893
817	80835	116805
818	80956	116739
819	81040	116619
820	81146	116530
821	81305	116518
822	81396	116407
823	81477	116284
824	81564	116167
825	81656	116059
826	81739	115938
827	81802	115787
828	81879	115658
829	81967	115544
830	82052	115426
831	82142	115315
832	82227	115197
833	82311	115078
834	82401	114967
835	82483	114845
836	82569	114728
837	82661	114621
838	82747	114505
839	82837	114394
840	82927	114283
841	83048	114215
842	83150	114122
843	83253	114029
844	83352	113931
845	83461	113846
846	83613	113821
847	83798	113839
848	83933	113789
849	84020	113675
850	84115	113570
851	84208	113464
852	84297	113351
853	84380	113231
854	84469	113119
855	84574	113029
856	84762	113050
857	84848	112933
858	84927	112808
859	85013	112692
860	85102	112580
861	85186	112462
862	85271	112344
863	85364	112238
864	85537	112236
865	85628	112127
866	85715	112013
867	85812	111911
868	85896	111794
869	85982	111677
870	86107	111613
871	86234	111551
872	86323	111439
873	86406	111320
874	86489	111200
875	86572	111081
876	86686	111002
877	86787	110906
878	86888	110810
879	87015	110747
880	87164	110711
881	87269	110621
882	87383	110541
883	87470	110426
884	87552	110306
885	87637	110189
886	87706	110053
887	87793	109939
888	87877	109821
889	87961	109704
890	88053	109596
891	88138	109481
892	88225	109367
893	88296	109234
894	88368	109103
895	88474	109013
896	88630	108984
897	88762	108926
898	88848	108812
899	88935	108698
900	89004	108563
901	89087	108445
902	89158	108313
903	89234	108187
904	89318	108070
905	89401	107952
906	89480	107830
907	89567	107717
908	89651	107601
909	89734	107484
910	89806	107353
911	89889	107236
